asn,arts_entertainment_and_recreation,financial_and_insurance_activities,household_activities,human_health_and_social_work,information_and_communication,manufacturing,public_administration_and_defense,trade_and_repair_of_vehicles,transportation_and_storage,utilities_and_waste_management,agriculture_forestry_and_fishing,mining_and_quarrying,construction,accommodation_and_food_service,real_estate_activities,professional_scientific_and_technical_activities,administrative_and_support_service_activities,education,other_service_activities,extraterritorial_organizations_and_bodies
AS20115,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS7018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS701,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS209,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS204285,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS3352,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS8151,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS3215,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS3209,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS7303,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS2856,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS5607,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS3320,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS17306,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS12083,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS133590,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS30036,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS5650,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS7311,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS395354,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS5742,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS20055,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS3356,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS174,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS2914,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS1299,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS3257,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS6762,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS6453,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS4134,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS5511,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS1221,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS12956,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS262589,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS52320,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS7049,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS13786,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS16735,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS9002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS10021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS31167,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS52361,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS9829,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS17557,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS20485,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS4230,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS4755,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS36873,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS12389,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS19429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS6471,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS55836,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS22047,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS9808,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS28573,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS26615,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS11315,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS19422,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS14593,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS7155,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS34444,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS60725,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS31515,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS12440,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS22351,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS29286,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS39356,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS197991,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
