asn,communityGroupsAndNonprofits,computerAndInformationTechnology,educationAndResearch,financeAndInsurance,governmentAndPublicAdministration,healthCareServices,other,"media,Publishing,AndBroadcasting",service,"agriculture,Mining,AndRefineries(farming,Greenhouses,Mining,Forestry,AndAnimalFarming)",constructionAndRealEstate,"museums,Libraries,AndEntertainment",utilities(excludingInternetService),travelAndAccommodation,"freight,Shipment,AndPostalServices","retailStores,Wholesale,AndE_commerceSites",manufacturing
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
87,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
127,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
291,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
292,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
293,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
297,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
377,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
557,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
680,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
688,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
701,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
714,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
721,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
766,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
786,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
800,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
804,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
812,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
818,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
833,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
905,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
930,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1030,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1070,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1221,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1237,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1239,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1273,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1320,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1416,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1659,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1761,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1766,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1781,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1797,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1798,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1828,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1835,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1887,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1916,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1930,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1955,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
