asn,as_name,top_level_category,sub_category
7922,Comcast,Access,LargeISP
7922,Comcast,Transit,Domestic
7922,Comcast,Mobile,
7922,Comcast,ContentProvider,CDN
20115,Charter Communications,Access,LargeISP
7018,AT&T US,Access,LargeISP
7018,AT&T US,Transit,Domestic
7018,AT&T US,Mobile,
701,Verizon,Access,LargeISP
701,Verizon,Transit,Domestic
701,Verizon,Mobile,
209,"CenturyLink Communications, LLC",Access,LargeISP
209,"CenturyLink Communications, LLC",Transit,Global
204285,OPTIMUM Telecommunications LLC,Access,SmallISP
3352,TELEFONICA DE ESPANA S.A.U.,Access,LargeISP
3352,TELEFONICA DE ESPANA S.A.U.,Mobile,
8151,UNINET,Access,LargeISP
8151,UNINET,Transit,Regional
8151,UNINET,Mobile,
3215,Orange S.A.	,Access,LargeISP
3215,Orange S.A.	,Transit,Domestic
3215,Orange S.A.	,Mobile,
3209,Vodafone GmbH,Access,LargeISP
3209,Vodafone GmbH,Mobile,
7303,Telecom Argentina S.A.,Access,LargeISP
2856,British Telecommunications PLC,Access,LargeISP
2856,British Telecommunications PLC,Transit,Domestic
2856,British Telecommunications PLC,Mobile,
5607,Sky UK Limited	,Access,LargeISP
3320,Deutsche Telekom,Access,LargeISP
3320,Deutsche Telekom,Transit,Global
3320,Deutsche Telekom,Mobile,
17306,"JAB Wireless, INC.",Access,SmallISP
12083,WideOpenWest Finance LLC,Access,LargeISP
133590,Wow Solutions and Systems Pvt Ltd,Access,SmallISP
23033,Wowrack,Access,SmallISP
23033,Wowrack,ContentProvider,Hosting
30036,Mediacom Communications Corp,Access,LargeISP
5650,"Frontier Communications of America, Inc.",Access,LargeISP
5650,"Frontier Communications of America, Inc.",Transit,Domestic
7311,Frontier Networks,Access,SmallISP
7311,Frontier Networks,Transit,Domestic
395354,"Starry, Inc.",Access,SmallISP
16591,Google Fiber Inc.,Access,LargeISP
16591,Google Fiber Inc.,Enterprise,Technology
5742,Consolidated Communications - IL,Access,SmallISP
5742,Consolidated Communications - IL,Transit,Domestic
20055,Wholesail networks LLC,Access,LargeISP
3356,Lumen AS3356,Transit,Global
174,"Cogent Communications, Inc.",Transit,Global
2914,NTT Global IP Network,Transit,Global
1299,Arelion,Transit,Global
3257,GTT Communications,Transit,Global
6762,Telecom Italia Sparkle,Transit,Global
6453,TATA Communications Ltd,Transit,Global
4134,China Telecom,Access,LargeISP
4134,China Telecom,Transit,Global
4134,China Telecom,Mobile,
4134,China Telecom,Government,Executive
4134,China Telecom,Government,FederalNational
5511,Orange,Transit,Global
1221,Telstra Limited	,Access,LargeISP
1221,Telstra Limited	,Transit,Domestic
1221,Telstra Limited	,Mobile,
12956,Telxius Cable,Transit,Global
262589,Megatelecom Telecomunicacoes Ltda,Transit,Regional
262589,Megatelecom Telecomunicacoes Ltda,Government,Executive
262589,Megatelecom Telecomunicacoes Ltda,Government,FederalNational
52320,"GlobeNet Cabos Submarinos Colombia, S.A.S.",Transit,Regional
7049,Silica Networks Argentina S.A.,Transit,Regional
13786,"Seabras 1 USA, LLC",Transit,Global
16735,ALGAR TELECOM S/A,Access,SmallISP
16735,ALGAR TELECOM S/A,Transit,Global
16735,ALGAR TELECOM S/A,Mobile,
9002,RETN,Transit,Global
10021,"KVH Co.,Ltd",Transit,Domestic
31167,AXIONE S.A.S. ,Access,SmallISP
31167,AXIONE S.A.S. ,Transit,Regional
55259,Neutrona Networks International LLC,Enterprise,Technology
52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A.,Access,LargeISP
52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A.,Transit,Domestic
52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A.,Satellite,
52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A.,Government,Executive
52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A.,Government,FederalNational
9829,Bharat Sanchar Nigam Ltd,Transit,Domestic
9829,Bharat Sanchar Nigam Ltd,Government,Executive
9829,Bharat Sanchar Nigam Ltd,Government,FederalNational
17557,Pakistan Telecom Company Limited,Transit,Global
17557,Pakistan Telecom Company Limited,Government,Executive
17557,Pakistan Telecom Company Limited,Government,FederalNational
20485,Joint Stock Company TransTeleCom,Transit,Global
20485,Joint Stock Company TransTeleCom,Government,Executive
20485,Joint Stock Company TransTeleCom,Government,FederalNational
4230,CLARO S.A.,Access,LargeISP
4230,CLARO S.A.,Transit,Domestic
4230,CLARO S.A.,Mobile,
4755,Tata Communications Limited,Transit,Domestic
36873,Airtel Networks Limited,Access,LargeISP
36873,Airtel Networks Limited,Transit,Domestic
36873,Airtel Networks Limited,Mobile,
12389,PJSC Rostelecom,Access,LargeISP
12389,PJSC Rostelecom,Transit,Regional
12389,PJSC Rostelecom,Mobile,
12389,PJSC Rostelecom,Government,Executive
12389,PJSC Rostelecom,Government,FederalNational
19429,Empresa de Telecomunicaciones de Bogota SA ESP,Access,LargeISP
19429,Empresa de Telecomunicaciones de Bogota SA ESP,Mobile,
6471,ENTEL CHILE S.A.,Access,SmallISP
6471,ENTEL CHILE S.A.,Mobile,
55836,Reliance Jio Infocomm Limited	,Access,LargeISP
55836,Reliance Jio Infocomm Limited	,Mobile,
22047,VTR BANDA ANCHA S.A.,Access,LargeISP
22047,VTR BANDA ANCHA S.A.,Mobile,
9808,China Mobile,Access,LargeISP
9808,China Mobile,Mobile,
9808,China Mobile,Government,Executive
9808,China Mobile,Government,FederalNational
28573,Claro NXT Telecomunicacoes Ltda,Access,LargeISP
28573,Claro NXT Telecomunicacoes Ltda,Mobile,
26615,TIM S/A,Access,LargeISP
26615,TIM S/A,Mobile,
11315,Telefónica Móviles Argentina S.A. (Movistar Arg),Access,LargeISP
11315,Telefónica Móviles Argentina S.A. (Movistar Arg),Mobile,
19422,Telefonica Moviles del Uruguay SA,Access,SmallISP
19422,Telefonica Moviles del Uruguay SA,Mobile,
14593,SpaceX Starlink,Access,LargeISP
14593,SpaceX Starlink,Satellite,
7155,ViaSat,Access,SmallISP
7155,ViaSat,Satellite,
34444,Eutelsat,Access,LargeISP
34444,Eutelsat,Satellite,
60725,SES Networks,Access,SmallISP
60725,SES Networks,Satellite,
31515,INMARSAT GLOBAL,Access,SmallISP
31515,INMARSAT GLOBAL,Satellite,
12440,Hughes Network Systems,Access,LargeISP
12440,Hughes Network Systems,Satellite,
22351,INTELSAT,Access,SmallISP
22351,INTELSAT,Satellite,
29286,SKYLOGIC S.P.A.,Access,SmallISP
29286,SKYLOGIC S.P.A.,Satellite,
39356,Avanti Broadband Ltd,Access,SmallISP
39356,Avanti Broadband Ltd,Satellite,
197991,HISPASAT,Access,SmallISP
197991,HISPASAT,Satellite,
53859,Atherton Fiber,Access,SmallISP
16509,AWS,ContentProvider,Cloud
16509,AWS,DNS,ANS
16509,AWS,Enterprise,Entertainment
396982,GCP,ContentProvider,Cloud
396982,GCP,DNS,ANS
396982,GCP,Enterprise,Technology
136907,HUAWEI INTERNATIONAL PTE. LTD.,ContentProvider,Cloud
137280,Kingsoft cloud corporation limited,ContentProvider,Cloud
138456,OceanBlue Cloud Technology Limited,ContentProvider,Cloud
7160,Oracle Corporation,ContentProvider,Cloud
6169,"Kentik Technologies, Inc.",ContentProvider,Cloud
63199,"CDS Global Cloud Co., Ltd",ContentProvider,Cloud
42473,Anexia,ContentProvider,Cloud
26496,GoDaddy,ContentProvider,Hosting
329166,Absolute Hosting (Pty) Ltd,ContentProvider,Hosting
132425,Exabytes Network (Singapore) Pte. Ltd.,ContentProvider,Hosting
31981,BlueTower Hosting LLC,ContentProvider,Hosting
197795,ColdHosting SL,ContentProvider,Hosting
63051,Critical Hosting Solutions LLC,ContentProvider,Hosting
196745,Datacenta Hosting Ltd,ContentProvider,Hosting
10747,,ContentProvider,Hosting
200052,,ContentProvider,Hosting
215680,,ContentProvider,Hosting
47583,,ContentProvider,Hosting
20940,Akamai Technologies,ContentProvider,Cloud
20940,Akamai Technologies,ContentProvider,CDN
13335,Cloudflare,ContentProvider,Cloud
13335,Cloudflare,ContentProvider,CDN
13335,Cloudflare,DNS,ANS
54113,"Fastly, Inc.",ContentProvider,CDN
6185,,ContentProvider,CDN
9609,,ContentProvider,CDN
49911,,ContentProvider,CDN
272713,,ContentProvider,CDN
58127,CDN Telekom,Access,SmallISP
149640,,ContentProvider,CDN
328126,Orange Tunisie,ContentProvider,CDN
328126,Orange Tunisie,Government,Executive
328126,Orange Tunisie,Government,FederalNational
16276,OVHcloud,ContentProvider,Hosting
16276,OVHcloud,ContentProvider,CDN
3,MIT,EducationalResearch,University
111,Boston University,EducationalResearch,University
6112,,EducationalResearch,University
14,,EducationalResearch,University
133498,De La Salle University,EducationalResearch,University
11,,EducationalResearch,University
7386,,EducationalResearch,University
87,,EducationalResearch,University
23140,,EducationalResearch,University
11164,Internet2 I2PX,EducationalResearch,AcademicBackbone
11164,Internet2 I2PX,Government,FederalNational
21320,GEANT Vereniging,EducationalResearch,AcademicBackbone
27750,RedCLARA ,EducationalResearch,AcademicBackbone
766,RedIRIS - Spanish NREN,EducationalResearch,AcademicBackbone
766,RedIRIS - Spanish NREN,Government,FederalNational
6509,CANARIE - Canada NREN,EducationalResearch,AcademicBackbone
6509,CANARIE - Canada NREN,Government,FederalNational
11340,REUNA - Chilean NREN,EducationalResearch,AcademicBackbone
11340,REUNA - Chilean NREN,Government,FederalNational
18592,CUDI - Mexican NREN,EducationalResearch,AcademicBackbone
18592,CUDI - Mexican NREN,Government,FederalNational
680,German National Research and Education Network,EducationalResearch,AcademicBackbone
680,German National Research and Education Network,Government,FederalNational
559,SWITCH - Swiss NREN,EducationalResearch,AcademicBackbone
559,SWITCH - Swiss NREN,Government,FederalNational
559,SWITCH - Swiss NREN,DNS,ccTLD
786,"Jisc United Kingdom NREN, operator of the Janet network",EducationalResearch,AcademicBackbone
786,"Jisc United Kingdom NREN, operator of the Janet network",Government,FederalNational
7575,Australian NREN,EducationalResearch,AcademicBackbone
7575,Australian NREN,Government,FederalNational
1416,,EducationalResearch,Schools
20344,,EducationalResearch,Schools
14241,,EducationalResearch,Schools
36112,,EducationalResearch,Schools
35998,,EducationalResearch,Schools
394271,,EducationalResearch,Schools
36289,,EducationalResearch,Schools
3677,University of Iowa,EducationalResearch,University
28027,,EducationalResearch,Schools
21924,,EducationalResearch,Schools
7502,,EducationalResearch,ResearchInstitutes
395664,,EducationalResearch,ResearchInstitutes
3338,,EducationalResearch,ResearchInstitutes
2003,,EducationalResearch,ResearchInstitutes
10411,,EducationalResearch,ResearchInstitutes
18422,,EducationalResearch,ResearchInstitutes
47623,,EducationalResearch,ResearchInstitutes
6095,"Novartis Institutes for BioMedical Research, Inc.",Enterprise,IndustrialManufacturing
