===== SUMMARY METRICS =====
accuracy: 0.44256756756756754
macro_precision: 0.737685121351352
macro_recall: 0.6338665969197392
macro_f1: 0.6587355402959918
macro_jaccard: 0.5327907898318367
mean_pr_auc: None

===== LABEL METRICS (DataFrame) =====
                                 Label  Accuracy  Precision   Recall  F1 Score  Jaccard Score PR AUC
                      Transit_Domestic  0.971284   0.181818 0.200000  0.190476       0.105263   None
                               DNS_ANS  0.981419   0.200000 0.125000  0.153846       0.083333   None
                   Government_Agencies  0.839527   0.230769 0.843750  0.362416       0.221311   None
                 Government_Regulators  0.981419   0.333333 0.100000  0.153846       0.083333   None
                    Financial_Entities  0.976351   0.357143 0.500000  0.416667       0.263158   None
                 Enterprise_E_commerce  0.986486   0.444444 0.571429  0.500000       0.333333   None
                 Enterprise_Technology  0.939189   0.454545 0.294118  0.357143       0.217391   None
                 ContentProvider_Cloud  0.981419   0.466667 0.700000  0.560000       0.388889   None
                      Transit_Regional  0.981419   0.500000 0.272727  0.352941       0.214286   None
               ContentProvider_Hosting  0.945946   0.550000 0.323529  0.407407       0.255814   None
                   ContentProvider_CDN  0.984797   0.571429 0.727273  0.640000       0.470588   None
                        Transit_Global  0.986486   0.625000 0.500000  0.555556       0.384615   None
                       Access_LargeISP  0.969595   0.666667 0.714286  0.689655       0.526316   None
  EducationalResearch_AcademicBackbone  0.989865   0.666667 0.800000  0.727273       0.571429   None
                      EnergyAndUtility  0.979730   0.684211 0.684211  0.684211       0.520000   None
              Enterprise_Entertainment  0.989865   0.700000 0.700000  0.700000       0.538462   None
              Government_StateProvince  0.964527   0.708333 0.548387  0.618182       0.447368   None
                                Mobile  0.972973   0.727273 0.774194  0.750000       0.600000   None
                       Access_SmallISP  0.925676   0.734694 0.537313  0.620690       0.450000   None
              TvRadioCulturalAmenities  0.988176   0.750000 0.692308  0.720000       0.562500   None
EducationalResearch_ResearchInstitutes  0.978041   0.769231 0.500000  0.606061       0.434783   None
        EducationalResearch_University  0.989865   0.772727 0.944444  0.850000       0.739130   None
                             DNS_ccTLD  0.991554   0.777778 0.700000  0.736842       0.583333   None
                  Government_Executive  0.807432   0.777778 0.058824  0.109375       0.057851   None
       Transportation_TransitAuthority  0.994932   0.800000 0.666667  0.727273       0.571429   None
                   Government_National  0.849662   0.844444 0.316667  0.460606       0.299213   None
                          Cooperatives  0.993243   0.846154 0.846154  0.846154       0.733333   None
     Government_CityCountyMunicipality  0.979730   0.846154 0.523810  0.647059       0.478261   None
                        LawEnforcement  0.989865   0.857143 0.750000  0.800000       0.666667   None
                      Health_Hospitals  0.994932   0.857143 0.750000  0.800000       0.666667   None
                Financial_CentralBanks  0.996622   0.857143 0.857143  0.857143       0.750000   None
                              Personal  0.994932   0.875000 0.777778  0.823529       0.700000   None
              Financial_StockExchanges  0.993243   0.875000 0.700000  0.777778       0.636364   None
                             Satellite  0.991554   0.888889 0.666667  0.761905       0.615385   None
               Transportation_Airports  0.991554   0.900000 0.692308  0.782609       0.642857   None
                  Government_Judiciary  0.988176   0.928571 0.684211  0.787879       0.650000   None
                                   IXP  0.984797   0.947368 0.837209  0.888889       0.800000   None
                        Financial_Bank  0.993243   0.960000 0.888889  0.923077       0.857143   None
           EducationalResearch_Schools  0.986486   1.000000 0.666667  0.800000       0.666667   None
                Government_Legislative  0.993243   1.000000 0.500000  0.666667       0.500000   None
                             DNS_Roots  0.998311   1.000000 0.960000  0.979592       0.960000   None
   Enterprise_Industrial_Manufacturing  0.993243   1.000000 0.428571  0.600000       0.428571   None
                 Financial_CreditUnion  1.000000   1.000000 1.000000  1.000000       1.000000   None
                     Health_Insurances  1.000000   1.000000 1.000000  1.000000       1.000000   None
                  Transportation_Ships  1.000000   1.000000 1.000000  1.000000       1.000000   None
                 Transportation_Trains  0.998311   1.000000 0.833333  0.909091       0.833333   None
