asn,split
11,train
14,train
16,train
24,train
43,train
44,train
49,train
50,train
68,train
70,train
87,train
104,train
109,train
111,train
122,train
127,train
160,train
174,train
209,train
286,train
288,train
291,train
292,train
377,train
557,train
701,train
714,train
721,train
766,train
786,train
800,train
812,train
818,train
820,train
833,train
890,train
905,train
930,train
1127,train
1200,train
1221,train
1237,train
1239,train
1416,train
1653,train
1659,train
1766,train
1781,train
1797,train
1798,train
1835,train
1887,train
1916,train
1999,train
2018,train
2024,train
2152,train
2385,train
2484,train
2486,train
2513,train
2516,train
2532,train
2536,train
2559,train
2576,train
2611,train
2698,train
2799,train
2818,train
2856,train
2906,train
2907,train
3132,train
3152,train
3215,train
3216,train
3280,train
3300,train
3337,train
3338,train
3352,train
3356,train
3428,train
3462,train
3477,train
3495,train
3499,train
3527,train
3582,train
3594,train
3598,train
3608,train
3614,train
3676,train
3705,train
3924,train
4046,train
4201,train
4230,train
4243,train
4549,train
4635,train
4666,train
4713,train
4756,train
4766,train
4788,train
4809,train
4837,train
4983,train
4985,train
5101,train
5408,train
5438,train
5495,train
5511,train
5576,train
5577,train
5607,train
5642,train
5662,train
5744,train
5766,train
6026,train
6057,train
6095,train
6102,train
6112,train
6127,train
6150,train
6167,train
6169,train
6185,train
6315,train
6341,train
6453,train
6461,train
6509,train
6597,train
6619,train
6642,train
6663,train
6695,train
6762,train
6816,train
6817,train
6830,train
6939,train
7155,train
7160,train
7163,train
7195,train
7276,train
7303,train
7311,train
7342,train
7382,train
7386,train
7417,train
7466,train
7473,train
7474,train
7481,train
7502,train
7557,train
7590,train
7646,train
7713,train
7734,train
7738,train
7743,train
7764,train
7792,train
7862,train
7896,train
7922,train
7968,train
7970,train
8012,train
8069,train
8070,train
8075,train
8104,train
8151,train
8179,train
8194,train
8240,train
8286,train
8315,train
8373,train
8517,train
8519,train
8714,train
8763,train
8798,train
8867,train
8904,train
8966,train
8987,train
9009,train
9016,train
9112,train
9121,train
9158,train
9177,train
9229,train
9261,train
9275,train
9276,train
9304,train
9401,train
9437,train
9446,train
9455,train
9458,train
9463,train
9489,train
9498,train
9570,train
9605,train
9606,train
9609,train
9641,train
9702,train
9703,train
9706,train
9735,train
9752,train
9772,train
9776,train
9854,train
9857,train
9908,train
9959,train
9970,train
9974,train
10021,train
10044,train
10050,train
10161,train
10166,train
10352,train
10405,train
10411,train
10420,train
10616,train
10671,train
10747,train
10754,train
10794,train
10897,train
10906,train
10954,train
11058,train
11109,train
11164,train
11284,train
11340,train
11406,train
11529,train
11643,train
11723,train
11888,train
11894,train
11952,train
11985,train
12037,train
12083,train
12102,train
12136,train
12187,train
12196,train
12564,train
12576,train
12684,train
12740,train
12891,train
12956,train
13057,train
13134,train
13302,train
13335,train
13424,train
13474,train
13475,train
13506,train
13611,train
13774,train
13781,train
13786,train
13788,train
14061,train
14086,train
14161,train
14222,train
14241,train
14495,train
14502,train
14593,train
14618,train
14650,train
14790,train
14977,train
15033,train
15072,train
15101,train
15169,train
15205,train
15383,train
15497,train
15557,train
15562,train
15669,train
15706,train
15757,train
15802,train
15937,train
15966,train
15991,train
16065,train
16115,train
16276,train
16395,train
16509,train
16532,train
16552,train
16569,train
16684,train
16686,train
16735,train
16780,train
17139,train
17147,train
17172,train
17306,train
17374,train
17390,train
17482,train
17547,train
17557,train
17564,train
17582,train
17584,train
17676,train
17841,train
17844,train
17851,train
18155,train
18300,train
18592,train
18733,train
18779,train
19422,train
19429,train
19722,train
19827,train
20055,train
20144,train
20294,train
20309,train
20331,train
20485,train
20491,train
20530,train
20548,train
20588,train
20595,train
20650,train
20759,train
20764,train
20868,train
20940,train
21096,train
21168,train
21203,train
21296,train
21342,train
21738,train
21924,train
21981,train
22047,train
22177,train
22178,train
22180,train
22246,train
22284,train
22363,train
22394,train
22515,train
22593,train
22612,train
22769,train
22798,train
22822,train
22975,train
22985,train
23033,train
23038,train
23059,train
23074,train
23128,train
23140,train
23258,train
23286,train
23454,train
23507,train
23520,train
23540,train
23585,train
23710,train
23711,train
23712,train
23713,train
23762,train
23888,train
23938,train
24047,train
24048,train
24050,train
24051,train
24190,train
24313,train
24389,train
24470,train
24482,train
24499,train
24508,train
24561,train
24595,train
24657,train
24689,train
24736,train
24789,train
24889,train
25094,train
25133,train
25309,train
25369,train
25373,train
25425,train
25698,train
25735,train
25755,train
25804,train
25829,train
25888,train
25992,train
25996,train
26356,train
26468,train
26496,train
26554,train
26593,train
26599,train
26615,train
26621,train
26723,train
26854,train
27030,train
27202,train
27277,train
27319,train
27320,train
27321,train
27322,train
27370,train
27475,train
27649,train
27655,train
27674,train
27678,train
27687,train
27730,train
27750,train
27764,train
27775,train
27797,train
27812,train
27822,train
27848,train
27859,train
27862,train
27894,train
27910,train
27913,train
27919,train
27949,train
27952,train
27957,train
27961,train
27967,train
27999,train
28033,train
28035,train
28059,train
28069,train
28070,train
28074,train
28079,train
28089,train
28100,train
28181,train
28196,train
28248,train
28349,train
28468,train
28507,train
28517,train
28581,train
28629,train
28672,train
28681,train
28749,train
29139,train
29286,train
29325,train
29465,train
29617,train
29673,train
29791,train
29860,train
29894,train
29992,train
30081,train
30125,train
30128,train
30130,train
30131,train
30133,train
30188,train
30313,train
30453,train
30511,train
30636,train
30786,train
30844,train
30885,train
30971,train
30992,train
31034,train
31069,train
31079,train
31133,train
31167,train
31313,train
31581,train
31614,train
31621,train
31747,train
31767,train
31958,train
31981,train
32027,train
32071,train
32082,train
32568,train
32612,train
32934,train
32982,train
33000,train
33071,train
33072,train
33073,train
33074,train
33078,train
33081,train
33082,train
33091,train
33110,train
33138,train
33248,train
33353,train
33495,train
33515,train
33558,train
33696,train
33876,train
33891,train
34073,train
34216,train
34339,train
34344,train
34444,train
34549,train
34927,train
35006,train
35135,train
35160,train
35206,train
35503,train
35519,train
35542,train
35575,train
35819,train
35871,train
35940,train
35955,train
35963,train
35998,train
36090,train
36092,train
36112,train
36289,train
36351,train
36456,train
36673,train
36859,train
36873,train
36890,train
36962,train
36974,train
36992,train
37069,train
37184,train
37206,train
37224,train
37324,train
37386,train
37463,train
37468,train
37474,train
37565,train
37576,train
37582,train
37613,train
37617,train
37662,train
37663,train
37668,train
37701,train
37776,train
37780,train
37937,train
37963,train
38027,train
38064,train
38112,train
38125,train
38136,train
38191,train
38200,train
38388,train
38438,train
38456,train
38568,train
38644,train
38693,train
38708,train
38755,train
38764,train
38891,train
38892,train
38930,train
39107,train
39160,train
39202,train
39386,train
39397,train
39607,train
39909,train
39940,train
40009,train
40193,train
40412,train
40808,train
40959,train
40992,train
41075,train
41095,train
41327,train
41379,train
41424,train
41548,train
41567,train
41697,train
41706,train
41707,train
41708,train
41751,train
41882,train
42121,train
42186,train
42379,train
42437,train
42476,train
42556,train
42615,train
42656,train
42894,train
42991,train
43104,train
43188,train
43205,train
43355,train
43410,train
43500,train
43797,train
43857,train
44139,train
44421,train
44586,train
44718,train
44896,train
44901,train
45220,train
45264,train
45285,train
45304,train
45320,train
45353,train
45375,train
45379,train
45384,train
45396,train
45397,train
45937,train
45972,train
45973,train
45990,train
45999,train
46018,train
46032,train
46293,train
46483,train
46630,train
46692,train
46868,train
47272,train
47447,train
47524,train
47559,train
47584,train
47623,train
47672,train
48298,train
48443,train
48487,train
48782,train
48850,train
48987,train
49090,train
49134,train
49142,train
49205,train
49459,train
49511,train
49624,train
49634,train
49911,train
49917,train
49933,train
50224,train
50263,train
50338,train
50863,train
51090,train
51228,train
51432,train
51437,train
51679,train
52055,train
52240,train
52255,train
52271,train
52274,train
52293,train
52295,train
52303,train
52314,train
52315,train
52318,train
52350,train
52357,train
52361,train
52364,train
52372,train
52373,train
52387,train
52432,train
52440,train
52447,train
52459,train
52468,train
52473,train
52486,train
52490,train
52496,train
52569,train
52608,train
52628,train
52649,train
52756,train
52867,train
52996,train
52997,train
53035,train
53049,train
53159,train
53249,train
53294,train
53296,train
53387,train
53399,train
53406,train
53421,train
53446,train
53459,train
53469,train
53631,train
53643,train
53649,train
53777,train
53859,train
53906,train
53949,train
54033,train
54060,train
54104,train
54113,train
54136,train
54153,train
54192,train
54248,train
54263,train
54289,train
54304,train
54397,train
54436,train
54442,train
54443,train
54520,train
54521,train
54556,train
54572,train
54583,train
54680,train
54715,train
54772,train
54776,train
54925,train
54933,train
55010,train
55027,train
55077,train
55174,train
55259,train
55260,train
55268,train
55304,train
55366,train
55429,train
55439,train
55440,train
55518,train
55597,train
55604,train
55613,train
55616,train
55680,train
55822,train
55824,train
55878,train
55887,train
55957,train
55960,train
55971,train
56036,train
56105,train
56393,train
56408,train
56507,train
56561,train
56584,train
56810,train
56811,train
56854,train
56931,train
57106,train
57116,train
57127,train
57508,train
57584,train
57653,train
57782,train
57924,train
58094,train
58127,train
58137,train
58185,train
58282,train
58313,train
58369,train
58406,train
58436,train
58446,train
58488,train
58593,train
58894,train
59147,train
59194,train
59195,train
59645,train
59654,train
60068,train
60290,train
60382,train
60524,train
60707,train
60725,train
60813,train
60990,train
61069,train
61268,train
61317,train
61447,train
61448,train
61456,train
61471,train
61476,train
61481,train
61486,train
61496,train
61499,train
61509,train
61513,train
61569,train
61585,train
61656,train
61690,train
61738,train
61880,train
61881,train
62022,train
62119,train
62128,train
62240,train
62371,train
62484,train
62502,train
62509,train
62546,train
62552,train
62597,train
62644,train
62651,train
62677,train
62678,train
62693,train
62705,train
62718,train
62757,train
62866,train
62867,train
62894,train
62955,train
62999,train
63028,train
63051,train
63094,train
63103,train
63147,train
63199,train
63205,train
63312,train
63324,train
63347,train
63359,train
63363,train
63398,train
63419,train
63457,train
63635,train
63644,train
63776,train
63796,train
63826,train
63932,train
63949,train
63951,train
64046,train
64065,train
64117,train
64131,train
64238,train
64274,train
64275,train
131097,train
131199,train
131352,train
131465,train
131795,train
131799,train
131820,train
131924,train
131931,train
132048,train
132093,train
132205,train
132394,train
132425,train
132619,train
132634,train
132825,train
133017,train
133217,train
133253,train
133386,train
133481,train
133498,train
133590,train
133826,train
133869,train
133968,train
134138,train
134654,train
134707,train
135008,train
135228,train
135244,train
135294,train
135301,train
135378,train
135407,train
